Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,330,330,330,330,330,330,330,340,340,350,350,350,550,550,560,560,560,
UpLimit:,,,,,,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,-300.000,25.000,1.000,,,,,,,10.000,,1242.500,2.594,2046.000,,,,10.000,10.000,100.000,100.000,,,,,,,,1.500,1.500,,
DownLimit:,,,,,,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-25.000,1.000,,,,,,,-2.000,,1213.800,2.303,1757.000,,,,0.000,0.000,90.000,90.000,,,,,,,,-0.500,-0.500,,
Unit:,,,,,,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,uA,,,,,,,,uA,,mV,MHz,Hz,,,,mV,mV,mV,mV,,,,,,,,V,V,,
Serial#,Site#, ProberX#,ProberY#,HW Bin#,SW Bin#,OPEN_SHORT_TEST_VPP_D,OPEN_SHORT_TEST_GPIO0_D,OPEN_SHORT_TEST_GPIO1_D,OPEN_SHORT_TEST_GPIO2_D,OPEN_SHORT_TEST_GPIO3_D,OPEN_SHORT_TEST_GPO0_D,OPEN_SHORT_TEST_GPIO4_D,OPEN_SHORT_TEST_GPIO5_D,OPEN_SHORT_TEST_GPIO6_D,OPEN_SHORT_TEST_GPIO7_D,OPEN_SHORT_TEST_GPIO8_D,OPEN_SHORT_TEST_GPIO9_D,POWER_SHORT_VDD,code_check_sum_code_check_sum,CKCKB_TEST_i2c_Test_w.ck_write,CKCKB_TEST_i2c_Test_r.ck_read,CKCKB_TEST_i2c_Test_w.ckb_write,CKCKB_TEST_i2c_Test_r.ckb_read,ICC_test_5P65_i2c_Test_w.icc_int_code_write,ICC_test_5P65_i2c_Test_r.read_allregister,ICC_test_5P65_VDD,vbg_osc_QA_test_i2c_Test_w.QA_vbg_int_code_cm02B,vbg_osc_QA_test_vbg_QA,vbg_osc_QA_test_rcosc_QA,vbg_osc_QA_test_lcosc_QA,ACMP_QA_test_i2c_Test_w.QA_vbg_int_code_cm02B,ACMP_QA_test_i2c_Test_r.read_allregister,ACMP_QA_test_acmp_Test.acmp_trim,ACMP_QA_test_ACMPH_996 ,ACMP_QA_test_ACMPL_996 ,ACMP_QA_test_ACMPH_1004,ACMP_QA_test_ACMPL_1004,LUT_QA_test_i2c_Test_w.QA_vbg_int_code_cm02B,LUT_QA_test_lut_Test.lut,PR_QA_test_i2c_Test_r.read_allregister,PR_QA_test_i2c_Test_w.QA_pr_int_code_write,PR_QA_test_pr_test.HL_pr,LS8C10099T_V_code_READ_i2c_Test_r.read_allregister,LS8C10099T_V_code_READ_i2c_Test_r.LS8C10099T_V_code_read,LS8C10099T_V_ATE_GPIO9_D,LS8C10099T_V_ATE_GPIO5_D,LS8C10099T_V_ATE_LS8C10099T_V_ATE.LS8C10099T_V_ATE_PATTERN,
0, 0,1,0, 1,1,-402.420,-475.180,-507.037,-476.765,-477.218,-476.045,-477.798,-477.190,-479.070,-477.185,-477.903,-476.040,0.195,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.626,PASS,1233.839,2.471,1912.728,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
0, 1,1,1, 1,1,-398.522,-468.470,-468.014,-470.537,-470.662,-470.627,-469.676,-471.290,-471.082,-471.582,-470.989,-470.222,0.248,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.579,PASS,1234.598,2.488,1931.989,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
1, 0,3,0, 1,1,-395.549,-465.512,-467.062,-468.417,-467.322,-468.628,-468.777,-467.709,-469.938,-468.638,-469.262,-469.016,0.091,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.503,PASS,1232.022,2.482,1939.125,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
1, 1,3,1, 1,1,-409.124,-486.709,-485.640,-484.689,-485.964,-485.339,-485.841,-486.889,-486.244,-487.625,-487.597,-485.764,-0.211,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.564,PASS,1227.218,2.461,1930.385,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
2, 0,5,0, 1,1,-395.377,-466.523,-467.434,-468.284,-469.696,-468.437,-468.266,-469.826,-470.567,-468.886,-469.352,-468.295,0.358,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.586,PASS,1230.092,2.491,1948.215,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
2, 1,5,1, 1,1,-393.842,-463.421,-463.163,-465.007,-464.914,-465.523,-464.208,-464.966,-466.062,-467.148,-465.582,-464.534,-0.155,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.595,PASS,1232.093,2.465,1943.563,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
3, 0,7,0, 1,1,-395.225,-464.348,-477.720,-467.375,-467.016,-467.081,-468.051,-467.982,-468.994,-468.295,-469.233,-468.524,0.130,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.548,PASS,1235.230,2.490,1932.945,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
3, 1,7,1, 1,1,-400.084,-477.174,-476.481,-474.989,-476.922,-476.644,-476.393,-478.228,-478.529,-478.198,-478.179,-476.810,0.071,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.606,PASS,1237.393,2.465,1930.614,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
