Serial#,Site#, ProberX#,ProberY#,HW Bin#,SW Bin#,OPEN_SHORT_TEST_VPP_D,OPEN_SHORT_TEST_GPIO0_D,OPEN_SHORT_TEST_GPIO1_D,OPEN_SHORT_TEST_GPIO2_D,OPEN_SHORT_TEST_GPIO3_D,OPEN_SHORT_TEST_GPO0_D,OPEN_SHORT_TEST_GPIO4_D,OPEN_SHORT_TEST_GPIO5_D,OPEN_SHORT_TEST_GPIO6_D,OPEN_SHORT_TEST_GPIO7_D,OPEN_SHORT_TEST_GPIO8_D,OPEN_SHORT_TEST_GPIO9_D,POWER_SHORT_VDD,CHECK_SITE_I_site,CHECK_SITE_code_check_sum,CKCKB_TEST_i2c_Test_w.ck_write,CKCKB_TEST_i2c_Test_r.ck_read,CKCKB_TEST_i2c_Test_w.ckb_write,CKCKB_TEST_i2c_Test_r.ckb_read,ICC_test_5P65_i2c_Test_w.icc_int_code_write,ICC_test_5P65_i2c_Test_r.read_allregister,ICC_test_5P65_VDD,vbgtrim_test_i2c_Test_w.vbg_int_code_cm02B,vbgtrim_test_vbg_voltage,vbgtrim_test_vbg_value,vbgtrim_test_vbg_diff,vbgtrim_test_vbg_value_final,acmptrim_test_i2c_Test_w.vbg_int_code_cm02B,acmptrim_test_acmp_Test.acmp_trim,acmptrim_test_acmp_trim_value,osctrim_test_i2c_Test_w.vbg_int_code_cm02B,osctrim_test_rcosc_freq,osctrim_test_rcosc_diff,osctrim_test_rcosc_trimvalue,osctrim_test_i2c_Test_r.read_allregister,osctrim_test_rcosc_trimvalue_final,osctrim_test_i2c_Test_w.0xF0_0x01_write,osctrim_test_i2c_Test_w.0xF3_0x80_write,osctrim_test_i2c_Test_w.0xF5_0x09_write,osctrim_test_lcosc_freq,osctrim_test_lcosc_diff,osctrim_test_lcosc_trimvalue,osctrim_test_lcosc_trimvalue_final,LUT_test_i2c_Test_w.vbg_int_code_cm02B,LUT_test_i2c_Test_r.read_allregister,LUT_test_lut_Test.lut,PR_test_i2c_Test_w.pr_int_code_write,PR_test_i2c_Test_r.read_allregister,PR_test_pr_test.pr,TRIM_PROG_i2c_progame_low.5AtoA5_trim_progame,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.5AtoA5_value_read,TRIM_LOCKED_i2c_progame.trim_locked,LS8C10001T_V_code_PROG_i2c_progame.LS8C10001T_V_code_program,LS8C10001T_V_code_PROG_i2c_Test_r.read_allregister,NVM_LOCKED_i2c_progame.nvm_locked,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.LS8C10001T_V_code_read,LS8C10001T_V_ATE_1230mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_615mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_288mV_LS8C10001T_V_ATE.LS8C10001T_V_ATE1,LS8C10001T_V_ATE_PAT_LS8C10001T_V_ATE.LS8C10001T_V_ATE2,LS8C10001T_V_ATE_PAT_LS8C10001T_V_ATE.LS8C10001T_V_ATE3,
0, 1,1,1, 1,1,-489.112,-624.979,-625.612,-610.526,-610.120,-602.906,-605.456,-605.340,-603.455,-604.895,-602.092,-599.616,-0.008,504.074,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.440,PASS,1231.021,29.000,1.021,28.000,PASS,PASS,0.000,PASS,2.467,32.570,39.000,PASS,40.000,PASS,PASS,PASS,1990.912,9.087,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
1, 0,3,0, 1,1,-490.370,-624.155,-627.253,-603.388,-595.810,-595.774,-596.836,-601.089,-602.215,-598.551,-599.861,-602.973,0.021,499.206,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.403,PASS,1229.310,31.000,0.690,31.000,PASS,PASS,0.000,PASS,2.494,6.483,41.000,PASS,41.000,PASS,PASS,PASS,2011.209,11.209,49.000,49.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
2, 0,5,0, 1,1,-493.913,-625.147,-625.522,-604.959,-599.027,-597.607,-601.735,-604.763,-604.473,-601.355,-604.090,-607.806,0.330,499.223,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.381,PASS,1229.535,31.000,0.465,31.000,PASS,PASS,0.000,PASS,2.531,30.877,43.000,PASS,42.000,PASS,PASS,PASS,1982.626,17.374,49.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
2, 1,5,1, 1,1,-494.026,-623.905,-625.904,-606.603,-602.539,-602.658,-601.537,-608.654,-604.003,-603.592,-600.845,-601.042,-0.024,503.167,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.372,PASS,1231.322,29.000,1.322,28.000,PASS,PASS,0.000,PASS,2.512,12.058,39.000,PASS,39.000,PASS,PASS,PASS,1982.707,17.293,49.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
3, 0,7,0, 1,1,-483.299,-622.457,-622.698,-597.430,-595.009,-593.529,-592.638,-599.120,-597.188,-595.914,-594.769,-600.735,0.124,498.987,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.395,PASS,1229.285,29.000,0.715,29.000,PASS,PASS,0.000,PASS,2.476,24.262,37.000,PASS,38.000,PASS,PASS,PASS,2020.948,20.948,49.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
3, 1,7,1, 1,1,-495.025,-624.902,-626.090,-606.035,-606.205,-600.700,-602.839,-608.230,-606.201,-604.776,-598.032,-600.951,0.058,501.522,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.359,PASS,1231.560,25.000,1.560,24.000,PASS,PASS,0.000,PASS,2.493,6.980,41.000,PASS,41.000,PASS,PASS,PASS,1998.777,1.223,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
4, 0,9,0, 1,1,-493.879,-624.212,-624.558,-603.736,-600.181,-595.358,-600.365,-603.325,-602.653,-601.098,-600.982,-606.485,-0.335,499.137,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.372,PASS,1229.560,27.000,0.440,27.000,PASS,PASS,0.000,PASS,2.533,32.928,43.000,PASS,42.000,PASS,PASS,PASS,2020.781,20.781,49.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
4, 1,9,1, 1,1,-495.330,-627.656,-626.123,-607.146,-607.642,-604.664,-603.330,-604.078,-604.871,-605.931,-603.597,-599.435,0.133,502.118,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.326,PASS,1230.218,26.000,0.218,26.000,PASS,PASS,0.000,PASS,2.501,0.500,41.000,PASS,41.000,PASS,PASS,PASS,2009.223,9.222,48.000,48.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
5, 0,11,0, 1,1,-493.144,-624.613,-626.251,-605.693,-600.548,-599.608,-598.369,-604.668,-603.435,-603.663,-602.312,-607.191,0.019,499.089,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.417,PASS,1229.185,25.000,0.815,25.000,PASS,PASS,0.000,PASS,2.514,13.573,41.000,PASS,41.000,PASS,PASS,PASS,2004.562,4.562,50.000,50.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
5, 1,11,1, 1,1,-490.660,-624.988,-622.499,-600.477,-598.992,-597.429,-597.517,-599.273,-594.571,-593.395,-593.862,-594.719,0.117,502.500,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.367,PASS,1229.641,31.000,0.359,31.000,PASS,PASS,0.000,PASS,2.507,7.020,39.000,PASS,39.000,PASS,PASS,PASS,1985.488,14.512,47.000,47.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
