[Header]
Business_Scene:,FT1
Customer_ID:,KIQ
Customer_LotNo:,D08J07
Date_Code:,2415
Device_Code:,FT1
Device_Name:,LS4V44057V
FAIL_BIN:,2 3 4 5
FileName:,C:/AITest/Log/LS4V44057V_LS4V44057V_Yuexin_FT_testprogram_REV5_D08J07_KIQC15F001.001_FT1_NA_E3200-6237_20240420164946.stdf
Handler_ID:,E3200-2447
Handler_Type:,HT_NIT-ALPHAS
Item:,NA
Loadboard_ID:,SLB1-KIQ-001
Long_Device:,NA
Lot_Type:,R
Merge_LotNO:,D08J07-1
Mode_Code:,FT1
Mother_Fab:,SMIC
Operator_ID:,1
PASS_BIN:,1
PID_Name:,TLS4V44057V01
PIN_Count:,14
PO_Number:,20240407001
Package_Type:,FCQFN 1.6X2X0.55 14
Program_Folder:,LS4V44057V_Yuexin_FT_testprogram_REV5
Program_Name:,LS4V44057V_Yuexin_FT_testprogram_REV5
Quantity:,329524
Site_Alarm_Number:,0
Soak_Time:,0
Socket_ID:,"SOC-KIQ-QFN14-PNK-16-20-14L-P0.40-001;SOC-KIQ-QFN14-PNK-16-20-14L-P0.40-002"
Sub_LotNo:,KIQC15F001.001
TestCode:,R1
Test_Bin_No:,ALL
Test_Flow:,LS4V44057V_Yuexin_FT_testprogram_REV5.wxFlow
Test_Temp:,25
Tester_ID:,E3200-6237
Wafer_Version:,U1 XRB276
Zipfile_Name:,LS4V44057V_Yuexin_FT_testprogram_REV5.zip
efuse_check_flag:,N
runtype:,MP
wafer_Lot%20ID:,D08J07
start_time:, 2024/04/20 16:51:23,
end_time:, 2024/04/21 14:17:13,
Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,320,330,330,330,340,340,340,340,340,340,340,340,340,340,340,340,340,350,350,350,360,360,360,370,370,370,370,370,500,510,510,520,530,540,550,550,560,560,560,
UpLimit:,,,,,,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,-300.00001,25.00000,1.00000,,,,,,,10.00000,,1231.59998,63.00000,1.60000,63.00000,,,15.00000,,2.53750,37.50000,126.00000,,126.00000,,,,2023.00000,23.00000,63.00000,63.00000,,,,,,,,,1233.19995,2.57500,2046.00000,,,,,,,,,1.50000,1.50000,,
DownLimit:,,,,,,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-25.00000,1.00000,,,,,,,-2.00000,,1228.40002,0.00000,0.00000,1.00000,,,0.00000,,2.46250,0.00000,0.00000,,0.00000,,,,1977.00000,0.00000,0.00000,0.00000,,,,,,,,,1226.80005,2.42500,1948.00000,,,,,,,,,-0.50000,-0.50000,,
Unit:,,,,,,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,uA,,,,,,,,uA,,mV, ,mV, ,,, ,,MHz,KHz, ,, ,,,,Hz,Hz, , ,,,,,,,,,mV,MHz,Hz,,,,,,,,,V,V,,
Serial#,Site#, ProberX#,ProberY#,HW Bin#,SW Bin#,OPEN_SHORT_TEST_VPP_D,OPEN_SHORT_TEST_GPIO0_D,OPEN_SHORT_TEST_GPIO1_D,OPEN_SHORT_TEST_GPIO2_D,OPEN_SHORT_TEST_GPIO3_D,OPEN_SHORT_TEST_GPO0_D,OPEN_SHORT_TEST_GPIO4_D,OPEN_SHORT_TEST_GPIO5_D,OPEN_SHORT_TEST_GPIO6_D,OPEN_SHORT_TEST_GPIO7_D,OPEN_SHORT_TEST_GPIO8_D,OPEN_SHORT_TEST_GPIO9_D,POWER_SHORT_VDD,code_check_sum_code_check_sum,CKCKB_TEST_i2c_Test_w.ck_write,CKCKB_TEST_i2c_Test_r.ck_read,CKCKB_TEST_i2c_Test_w.ckb_write,CKCKB_TEST_i2c_Test_r.ckb_read,ICC_test_5P65_i2c_Test_w.icc_int_code_write,ICC_test_5P65_i2c_Test_r.read_allregister,ICC_test_5P65_VDD,vbgtrim_test_i2c_Test_w.vbg_int_code_cm02B,vbgtrim_test_vbg_voltage,vbgtrim_test_vbg_value,vbgtrim_test_vbg_diff,vbgtrim_test_vbg_value_final,acmptrim_test_i2c_Test_w.vbg_int_code_cm02B,acmptrim_test_acmp_Test.acmp_trim,acmptrim_test_acmp_trim_value,osctrim_test_i2c_Test_w.vbg_int_code_cm02B,osctrim_test_rcosc_freq,osctrim_test_rcosc_diff,osctrim_test_rcosc_trimvalue,osctrim_test_i2c_Test_r.read_allregister,osctrim_test_rcosc_trimvalue_final,osctrim_test_i2c_Test_w.0xF0_0x01_write,osctrim_test_i2c_Test_w.0xF3_0x80_write,osctrim_test_i2c_Test_w.0xF5_0x09_write,osctrim_test_lcosc_freq,osctrim_test_lcosc_diff,osctrim_test_lcosc_trimvalue,osctrim_test_lcosc_trimvalue_final,LUT_test_i2c_Test_w.vbg_int_code_cm02B,LUT_test_i2c_Test_r.read_allregister,LUT_test_lut_Test.lut,PR_test_i2c_Test_w.pr_int_code_write,PR_test_i2c_Test_r.read_allregister,PR_test_pr_test.pr,vbg_confirm_test_i2c_Test_w.vbg_int_code_cm02B,vbg_confirm_test_i2c_Test_r.read_allregister,vbg_confirm_test_vbg_comfire,rcosc_comfire_test_rcosc_QA,lcosc_comfire_test_lcosc_QA,TRIM_PROG_i2c_progame_low.5AtoA5_trim_progame,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.5AtoA5_value_read,TRIM_LOCKED_i2c_progame.trim_locked,LS8C10099T_V_code_PROG_i2c_progame.LS8C10099T_V_code_program,NVM_LOCKED_i2c_progame.nvm_locked,LS8C10099T_V_code_READ_i2c_Test_r.read_allregister,LS8C10099T_V_code_READ_i2c_Test_r.LS8C10099T_V_code_read,LS8C10099T_V_ATE_GPIO9_D,LS8C10099T_V_ATE_GPIO5_D,LS8C10099T_V_ATE_LS8C10099T_V_ATE.LS8C10099T_V_ATE_PATTERN,
0, 1,1,1, 1,1,-507.10607,-632.56425,-631.99252,-616.72813,-615.98825,-616.16862,-614.29143,-616.39398,-611.77874,-614.15499,-611.02003,-609.40874,0.13002,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.33298,PASS,1228.78467,29.00000,1.21538,30.00000,PASS,PASS,0.00000,PASS,2.52016,20.16129,43.00000,PASS,42.00000,PASS,PASS,PASS,1983.27075,16.72928,51.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1231.03992,2.48811,2014.77722,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99957,4.99918,PASS,
1, 0,3,0, 1,1,-502.00641,-627.78044,-628.95942,-607.62042,-607.78636,-605.98469,-609.37810,-607.42342,-610.37141,-607.33867,-609.69311,-611.70876,0.12453,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.37480,PASS,1231.44580,27.00000,1.44578,26.00000,PASS,PASS,0.00000,PASS,2.52934,29.34035,43.00000,PASS,42.00000,PASS,PASS,PASS,1984.39917,15.60087,51.00000,51.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.00476,2.50431,1984.64111,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99887,4.99920,PASS,
2, 0,5,0, 1,1,-506.61856,-628.28124,-629.83721,-611.32538,-610.90410,-611.66286,-610.68177,-610.41945,-613.93654,-610.60578,-613.21747,-613.04975,-0.07077,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.35374,PASS,1229.97961,33.00000,0.02034,33.00000,PASS,PASS,0.00000,PASS,2.48509,14.91054,45.00000,PASS,45.00000,PASS,PASS,PASS,2000.04602,0.04608,50.00000,50.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1229.50354,2.49406,1999.92322,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99898,4.99934,PASS,
2, 1,5,1, 1,1,-503.95429,-629.72951,-629.09871,-611.38475,-610.14920,-610.50051,-611.64564,-615.42255,-610.44854,-610.55607,-610.44961,-606.84860,0.07650,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.31623,PASS,1230.18799,27.00000,0.18795,27.00000,PASS,PASS,0.00000,PASS,2.51813,18.13054,45.00000,PASS,44.00000,PASS,PASS,PASS,1996.20300,3.79694,51.00000,51.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.05017,2.48910,1996.61121,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99983,4.99951,PASS,
3, 0,7,0, 1,1,-498.06744,-624.84229,-625.49102,-604.80118,-600.03495,-600.92729,-603.09851,-605.10117,-606.54885,-601.46272,-603.34063,-604.72226,-0.17124,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.30659,PASS,1231.57104,27.00000,1.57109,26.00000,PASS,PASS,12.00000,PASS,2.52067,20.66949,41.00000,PASS,40.00000,PASS,PASS,PASS,1990.18225,9.81781,49.00000,49.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.05481,2.48840,1990.26331,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99891,4.99914,PASS,
3, 1,7,1, 1,1,-505.65434,-630.18763,-630.69844,-610.61257,-611.70089,-609.77471,-610.37761,-614.38453,-611.57376,-610.21715,-610.41129,-607.74493,0.04565,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.33972,PASS,1228.93494,29.00000,1.06502,30.00000,PASS,PASS,0.00000,PASS,2.51509,15.09054,43.00000,PASS,43.00000,PASS,PASS,PASS,1992.09033,7.90971,50.00000,50.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.75183,2.51519,1992.21216,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99974,4.99953,PASS,
